2116,2962
Lgg. 1881,2014,55,28
<EOS>
<EOP>
Thurgauerverein 1497,2152,256,34
Genf 1769,2152,73,25
Der 1427,2239,46,22
heutige 1488,2239,93,28
Bericht 1597,2239,95,21
wird 1707,2239,56,21
keinen 1779,2239,84,22
allzu 1879,2239,58,21
großen 1397,2273,86,28
Raum 1503,2273,77,21
benötigen, 1597,2273,133,27
denn 1749,2273,61,21
die 1829,2273,35,21
Ver- 1883,2273,54,21
einstätigkeit 1397,2307,159,27
im 1574,2307,32,20
verflossenen 1625,2306,155,22
Jahre 1801,2307,71,23
war 1891,2315,47,12
eher 1397,2341,52,21
ruhig. 1461,2341,73,27
<EOS>
Als 1426,2375,40,20
erste 1477,2379,60,16
Begebenheit 1548,2374,157,27
sei 1716,2375,32,20
hier 1759,2374,48,21
das 1819,2374,40,21
letzt- 1869,2374,67,21
jährige 1394,2409,90,27
Jaß-Championnat 1497,2408,230,27
erwähnt, 1738,2408,112,24
das 1862,2408,40,21
in 1913,2409,23,19
allen 1397,2442,57,21
Teilen 1469,2442,78,21
als 1565,2442,32,21
wohlgelungen 1612,2442,175,27
betrachtet 1803,2442,134,21
werden 1396,2476,92,21
darf. 1501,2476,58,21
<EOS>
Die 1573,2476,42,21
Siegespaline 1631,2475,153,28
ist 1797,2476,30,20
diesmal 1840,2476,95,21
einer 1397,2510,61,21
auswärtigen 1477,2510,154,27
Equipe 1650,2510,90,27
zugekommen. 1759,2510,176,27
<EOS>
Mit 1396,2544,43,21
einem 1459,2544,73,21
vorzüglichen 1550,2543,164,27
Nachtessen, 1733,2543,153,25
im 1903,2543,32,21
